first_name,last_name,gender,birthday,name,type,party,start_date,end_date,congress_numbers,state
maria,cantwell,F,1958-10-13,Maria Cantwell,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",washington
amy,klobuchar,F,1960-05-25,Amy Klobuchar,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",minnesota
bernard,sanders,M,1941-09-08,Bernard Sanders,sen,Independent,2019-01-03,2025-01-03,"[116, 117, 118]",vermont
sheldon,whitehouse,M,1955-10-20,Sheldon Whitehouse,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",rhode island
john,barrasso,M,1952-07-21,John Barrasso,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",wyoming
roger,wicker,M,1951-07-05,Roger F. Wicker,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",mississippi
susan,collins,F,1952-12-07,Susan M. Collins,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",maine
john,cornyn,M,1952-02-02,John Cornyn,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",texas
richard,durbin,M,1944-11-21,Richard J. Durbin,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",illinois
lindsey,graham,M,1955-07-09,Lindsey Graham,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",south carolina
mitch,mcconnell,M,1942-02-20,Mitch McConnell,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",kentucky
jeff,merkley,M,1956-10-24,Jeff Merkley,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",oregon
john,reed,M,1949-11-12,Jack Reed,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",rhode island
james,risch,M,1943-05-03,James E. Risch,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",idaho
jeanne,shaheen,F,1947-01-28,Jeanne Shaheen,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",new hampshire
mark,warner,M,1954-12-15,Mark R. Warner,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",virginia
kirsten,gillibrand,F,1966-12-09,Kirsten E. Gillibrand,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",new york
christopher,coons,M,1963-09-09,Christopher A. Coons,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",delaware
tammy,baldwin,F,1962-02-11,Tammy Baldwin,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",wisconsin
michael,bennet,M,1964-11-28,Michael F. Bennet,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",colorado
marsha,blackburn,F,1952-06-06,Marsha Blackburn,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",tennessee
richard,blumenthal,M,1946-02-13,Richard Blumenthal,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",connecticut
john,boozman,M,1950-12-10,John Boozman,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",arkansas
shelley,capito,F,1953-11-26,Shelley Moore Capito,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",west virginia
bill,cassidy,M,1957-09-28,Bill Cassidy,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",louisiana
michael,crapo,M,1951-05-20,Mike Crapo,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",idaho
charles,grassley,M,1933-09-17,Chuck Grassley,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",iowa
martin,heinrich,M,1971-10-17,Martin Heinrich,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",new mexico
mazie,hirono,F,1947-11-03,Mazie K. Hirono,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",hawaii
john,hoeven,M,1957-03-13,John Hoeven,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",north dakota
ron,johnson,M,1955-04-08,Ron Johnson,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",wisconsin
james,lankford,M,1968-03-04,James Lankford,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",oklahoma
mike,lee,M,1971-06-04,Mike Lee,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",utah
ben,luján,M,1972-06-07,Ben Ray Luján,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",new mexico
edward,markey,M,1946-07-11,Edward J. Markey,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",massachusetts
jerry,moran,M,1954-05-29,Jerry Moran,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",kansas
lisa,murkowski,F,1957-05-22,Lisa Murkowski,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",alaska
christopher,murphy,M,1973-08-03,Christopher Murphy,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",connecticut
patty,murray,F,1950-10-11,Patty Murray,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",washington
rand,paul,M,1963-01-07,Rand Paul,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",kentucky
gary,peters,M,1958-12-01,Gary C. Peters,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",michigan
charles,schumer,M,1950-11-23,Charles E. Schumer,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",new york
tim,scott,M,1965-09-19,Tim Scott,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",south carolina
john,thune,M,1961-01-07,John Thune,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",south dakota
chris,van hollen,M,1959-01-10,Chris Van Hollen,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",maryland
peter,welch,M,1947-05-02,Peter Welch,rep,Democrat,2021-01-03,2023-01-03,[117],vermont
ron,wyden,M,1949-05-03,Ron Wyden,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",oregon
todd,young,M,1972-08-24,Todd Young,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",indiana
brian,schatz,M,1972-10-20,Brian Schatz,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",hawaii
tom,cotton,M,1977-05-13,Tom Cotton,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",arkansas
tammy,duckworth,F,1968-03-12,Tammy Duckworth,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",illinois
elizabeth,warren,F,1949-06-22,Elizabeth Warren,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",massachusetts
angus,king,M,1944-03-31,"Angus S. King, Jr.",sen,Independent,2019-01-03,2025-01-03,"[116, 117, 118]",maine
steve,daines,M,1962-08-20,Steve Daines,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",montana
kevin,cramer,M,1961-01-21,Kevin Cramer,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",north dakota
deb,fischer,F,1951-03-01,Deb Fischer,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",nebraska
markwayne,mullin,M,1977-07-26,Markwayne Mullin,rep,Republican,2021-01-03,2023-01-03,[117],oklahoma
ted,cruz,M,1970-12-22,Ted Cruz,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",texas
timothy,kaine,M,1958-02-26,Tim Kaine,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",virginia
cory,booker,M,1969-04-27,Cory A. Booker,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",new jersey
dan,sullivan,M,1964-11-13,Dan Sullivan,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",alaska
joni,ernst,F,1970-07-01,Joni Ernst,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",iowa
thom,tillis,M,1960-08-30,Thom Tillis,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",north carolina
mike,rounds,M,1954-10-24,Mike Rounds,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",south dakota
john,kennedy,M,1951-11-21,John Kennedy,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",louisiana
margaret,hassan,F,1958-02-27,Margaret Wood Hassan,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",new hampshire
catherine,cortez masto,F,1964-03-29,Catherine Cortez Masto,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",nevada
roger,marshall,M,1960-08-09,Roger Marshall,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",kansas
ted,budd,M,1971-10-21,Ted Budd,rep,Republican,2021-01-03,2023-01-03,[117],north carolina
jacky,rosen,F,1957-08-02,Jacky Rosen,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",nevada
tina,smith,F,1958-03-04,Tina Smith,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",minnesota
cindy,hyde-smith,F,1959-05-10,Cindy Hyde-Smith,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",mississippi
rick,scott,M,1952-12-01,Rick Scott,sen,Republican,2019-01-08,2025-01-03,"[116, 117, 118]",florida
joshua,hawley,M,1979-12-31,Josh Hawley,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",missouri
mark,kelly,M,1964-02-21,Mark Kelly,sen,Democrat,2020-12-02,2023-01-03,"[116, 117]",arizona
cynthia,lummis,F,1954-09-10,Cynthia M. Lummis,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",wyoming
tommy,tuberville,M,1954-09-18,Tommy Tuberville,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",alabama
john,hickenlooper,M,1952-02-07,John W. Hickenlooper,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",colorado
bill,hagerty,M,1959-08-14,Bill Hagerty,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",tennessee
alejandro,padilla,M,1973-03-22,Alex Padilla,sen,Democrat,2022-12-22,2023-01-03,[117],california
jon,ossoff,M,1987-02-16,Jon Ossoff,sen,Democrat,2021-01-20,2027-01-03,"[117, 118, 119]",georgia
raphael,warnock,M,1969-07-23,Raphael G. Warnock,sen,Democrat,2021-01-20,2023-01-03,[117],georgia
cedric,richmond,M,1973-09-13,Cedric L. Richmond,rep,Democrat,2021-01-03,2021-01-15,[117],louisiana
kamala,harris,F,1964-10-20,Kamala D. Harris,sen,Democrat,2017-01-03,2021-01-18,"[115, 116, 117]",california
kelly,loeffler,F,1970-11-27,Kelly Loeffler,sen,Republican,2020-01-06,2021-01-20,"[116, 117]",georgia
ron,wright,M,1953-04-08,Ron Wright,rep,Republican,2021-01-03,2021-02-07,[117],texas
marcia,fudge,F,1952-10-29,Marcia L. Fudge,rep,Democrat,2021-01-03,2021-03-10,[117],ohio
debra,haaland,F,1960-12-02,Debra A. Haaland,rep,Democrat,2021-01-03,2021-03-16,[117],new mexico
alcee,hastings,M,1936-09-05,Alcee L. Hastings,rep,Democrat,2021-01-03,2021-04-06,[117],florida
steve,stivers,M,1965-03-24,Steve Stivers,rep,Republican,2021-01-03,2021-05-16,[117],ohio
devin,nunes,M,1973-10-01,Devin Nunes,rep,Republican,2021-01-03,2022-01-03,[117],california
jim,hagedorn,M,1962-08-04,Jim Hagedorn,rep,Republican,2021-01-03,2022-02-17,[117],minnesota
don,young,M,1933-06-09,Don Young,rep,Republican,2021-01-03,2022-03-18,[117],alaska
jeff,fortenberry,M,1960-12-27,Jeff Fortenberry,rep,Republican,2021-01-03,2022-03-31,[117],nebraska
filemon,vela,M,1963-02-13,Filemon Vela,rep,Democrat,2021-01-03,2022-03-31,[117],texas
tom,reed,M,1971-11-18,Tom Reed,rep,Republican,2021-01-03,2022-05-10,[117],new york
antonio,delgado,M,1977-01-28,Antonio Delgado,rep,Democrat,2021-01-03,2022-05-25,[117],new york
jackie,walorski,F,1963-08-17,Jackie Walorski,rep,Republican,2021-01-03,2022-08-03,[117],indiana
charlie,crist,M,1956-07-24,Charlie Crist,rep,Democrat,2021-01-03,2022-08-31,[117],florida
theodore,deutch,M,1966-05-07,Theodore E. Deutch,rep,Democrat,2021-01-03,2022-09-30,[117],florida
a.,mceachin,M,1961-10-10,A. Donald McEachin,rep,Democrat,2021-01-03,2022-11-28,[117],virginia
karen,bass,F,1953-10-03,Karen Bass,rep,Democrat,2021-01-03,2023-01-03,[117],california
roy,blunt,M,1950-01-10,Roy Blunt,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",missouri
kevin,brady,M,1955-04-11,Kevin Brady,rep,Republican,2021-01-03,2023-01-03,[117],texas
mo,brooks,M,1954-04-29,Mo Brooks,rep,Republican,2021-01-03,2023-01-03,[117],alabama
richard,burr,M,1955-11-30,Richard Burr,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",north carolina
george,butterfield,M,1947-04-27,G. K. Butterfield,rep,Democrat,2021-01-03,2022-12-30,[117],north carolina
steve,chabot,M,1953-01-22,Steve Chabot,rep,Republican,2021-01-03,2023-01-03,[117],ohio
jim,cooper,M,1954-06-19,Jim Cooper,rep,Democrat,2021-01-03,2023-01-03,[117],tennessee
peter,defazio,M,1947-05-27,Peter A. DeFazio,rep,Democrat,2021-01-03,2023-01-03,[117],oregon
michael,doyle,M,1953-08-05,Michael F. Doyle,rep,Democrat,2021-01-03,2022-12-31,[117],pennsylvania
bob,gibbs,M,1954-06-14,Bob Gibbs,rep,Republican,2021-01-03,2023-01-03,[117],ohio
louie,gohmert,M,1953-08-18,Louie Gohmert,rep,Republican,2021-01-03,2023-01-03,[117],texas
vicky,hartzler,F,1960-10-13,Vicky Hartzler,rep,Republican,2021-01-03,2023-01-03,[117],missouri
jaime,herrera beutler,F,1978-11-03,Jaime Herrera Beutler,rep,Republican,2021-01-03,2023-01-03,[117],washington
eddie,johnson,F,1935-12-03,Eddie Bernice Johnson,rep,Democrat,2021-01-03,2023-01-03,[117],texas
ron,kind,M,1963-03-16,Ron Kind,rep,Democrat,2021-01-03,2023-01-03,[117],wisconsin
adam,kinzinger,M,1978-02-27,Adam Kinzinger,rep,Republican,2021-01-03,2023-01-03,[117],illinois
james,langevin,M,1964-04-22,James R. Langevin,rep,Democrat,2021-01-03,2023-01-03,[117],rhode island
patrick,leahy,M,1940-03-31,Patrick J. Leahy,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",vermont
billy,long,M,1955-08-11,Billy Long,rep,Republican,2021-01-03,2023-01-03,[117],missouri
carolyn,maloney,F,1946-02-19,Carolyn B. Maloney,rep,Democrat,2021-01-03,2023-01-03,[117],new york
david,mckinley,M,1947-03-28,David B. McKinley,rep,Republican,2021-01-03,2023-01-03,[117],west virginia
jerry,mcnerney,M,1951-06-18,Jerry McNerney,rep,Democrat,2021-01-03,2023-01-03,[117],california
steven,palazzo,M,1970-02-21,Steven M. Palazzo,rep,Republican,2021-01-03,2023-01-03,[117],mississippi
ed,perlmutter,M,1953-05-01,Ed Perlmutter,rep,Democrat,2021-01-03,2023-01-03,[117],colorado
robert,portman,M,1955-12-19,Rob Portman,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",ohio
david,price,M,1940-08-17,David E. Price,rep,Democrat,2021-01-03,2023-01-03,[117],north carolina
lucille,roybal-allard,F,1941-06-12,Lucille Roybal-Allard,rep,Democrat,2021-01-03,2023-01-03,[117],california
bobby,rush,M,1946-11-23,Bobby L. Rush,rep,Democrat,2021-01-03,2023-01-03,[117],illinois
tim,ryan,M,1973-07-16,Tim Ryan,rep,Democrat,2021-01-03,2023-01-03,[117],ohio
kurt,schrader,M,1951-10-19,Kurt Schrader,rep,Democrat,2021-01-03,2023-01-03,[117],oregon
richard,shelby,M,1934-05-06,Richard C. Shelby,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",alabama
albio,sires,M,1951-01-26,Albio Sires,rep,Democrat,2021-01-03,2023-01-03,[117],new jersey
jackie,speier,F,1950-05-14,Jackie Speier,rep,Democrat,2021-01-03,2023-01-03,[117],california
patrick,toomey,M,1961-11-17,Patrick J. Toomey,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",pennsylvania
fred,upton,M,1953-04-23,Fred Upton,rep,Republican,2021-01-03,2023-01-03,[117],michigan
john,yarmuth,M,1947-11-04,John A. Yarmuth,rep,Democrat,2021-01-03,2023-01-03,[117],kentucky
alan,lowenthal,M,1941-03-08,Alan S. Lowenthal,rep,Democrat,2021-01-03,2023-01-03,[117],california
rodney,davis,M,1970-01-05,Rodney Davis,rep,Republican,2021-01-03,2023-01-03,[117],illinois
cheri,bustos,F,1961-10-17,Cheri Bustos,rep,Democrat,2021-01-03,2023-01-03,[117],illinois
sean,maloney,M,1966-07-30,Sean Patrick Maloney,rep,Democrat,2021-01-03,2023-01-03,[117],new york
tom,rice,M,1957-08-04,Tom Rice,rep,Republican,2021-01-03,2023-01-03,[117],south carolina
jody,hice,M,1960-04-22,Jody B. Hice,rep,Republican,2021-01-03,2023-01-03,[117],georgia
brenda,lawrence,F,1954-10-18,Brenda L. Lawrence,rep,Democrat,2021-01-03,2023-01-03,[117],michigan
lee,zeldin,M,1980-01-30,Lee M. Zeldin,rep,Republican,2021-01-03,2023-01-03,[117],new york
kathleen,rice,F,1965-02-15,Kathleen M. Rice,rep,Democrat,2021-01-03,2023-01-03,[117],new york
john,katko,M,1962-11-09,John Katko,rep,Republican,2021-01-03,2023-01-03,[117],new york
tom,o’halleran,M,1946-01-24,Tom O’Halleran,rep,Democrat,2021-01-03,2023-01-03,[117],arizona
al,lawson,M,1948-09-23,"Al Lawson, Jr.",rep,Democrat,2021-01-03,2023-01-03,[117],florida
stephanie,murphy,F,1978-09-16,Stephanie N. Murphy,rep,Democrat,2021-01-03,2023-01-03,[117],florida
val,demings,F,1957-03-12,Val Butler Demings,rep,Democrat,2021-01-03,2023-01-03,[117],florida
trey,hollingsworth,M,1983-09-12,Trey Hollingsworth,rep,Republican,2021-01-03,2023-01-03,[117],indiana
anthony,brown,M,1961-11-21,Anthony G. Brown,rep,Democrat,2021-01-03,2023-01-03,[117],maryland
liz,cheney,F,1966-07-28,Liz Cheney,rep,Republican,2021-01-03,2023-01-03,[117],wyoming
conor,lamb,M,1984-06-27,Conor Lamb,rep,Democrat,2021-01-03,2023-01-03,[117],pennsylvania
ann,kirkpatrick,F,1950-03-24,Ann Kirkpatrick,rep,Democrat,2021-01-03,2023-01-03,[117],arizona
michael,san nicolas,M,1981-01-30,Michael F. Q. San Nicolas,rep,Democrat,2021-01-03,2023-01-03,[117],gu
cynthia,axne,F,1965-04-20,Cynthia Axne,rep,Democrat,2021-01-03,2023-01-03,[117],iowa
andy,levin,M,1960-08-10,Andy Levin,rep,Democrat,2021-01-03,2023-01-03,[117],michigan
tom,malinowski,M,1965-09-23,Tom Malinowski,rep,Democrat,2021-01-03,2023-01-03,[117],new jersey
anthony,gonzalez,M,1984-09-18,Anthony Gonzalez,rep,Republican,2021-01-03,2023-01-03,[117],ohio
van,taylor,M,1972-08-01,Van Taylor,rep,Republican,2021-01-03,2023-01-03,[117],texas
elaine,luria,F,1975-08-15,Elaine G. Luria,rep,Democrat,2021-01-03,2023-01-03,[117],virginia
fred,keller,M,1965-10-23,Fred Keller,rep,Republican,2021-01-03,2023-01-03,[117],pennsylvania
chris,jacobs,M,1966-11-28,Chris Jacobs,rep,Republican,2021-01-03,2023-01-03,[117],new york
carolyn,bourdeaux,F,1970-06-03,Carolyn Bourdeaux,rep,Democrat,2021-01-03,2023-01-03,[117],georgia
kaialiʻi,kahele,M,1974-03-28,Kaiali’i Kahele,rep,Democrat,2021-01-03,2023-01-03,[117],hawaii
marie,newman,F,1964-04-13,Marie Newman,rep,Democrat,2021-01-03,2023-01-03,[117],illinois
peter,meijer,M,1988-01-10,Peter Meijer,rep,Republican,2021-01-03,2023-01-03,[117],michigan
madison,cawthorn,M,1995-08-01,Madison Cawthorn,rep,Republican,2021-01-03,2023-01-03,[117],north carolina
yvette,herrell,F,1964-03-16,Yvette Herrell,rep,Republican,2021-01-03,2023-01-03,[117],new mexico
mondaire,jones,M,1987-05-18,Mondaire Jones,rep,Democrat,2021-01-03,2023-01-03,[117],new york
connie,conway,F,1950-09-25,Connie Conway,rep,Republican,2022-06-07,2023-01-03,[117],california
mayra,flores,F,1986-01-01,Mayra Flores,rep,Republican,2022-06-21,2023-01-03,[117],texas
joseph,sempolinski,M,1983-02-10,Joseph Sempolinski,rep,Republican,2022-09-13,2023-01-03,[117],new york
james,inhofe,M,1934-11-17,James M. Inhofe,sen,Republican,2021-01-03,2023-01-03,[117],oklahoma
benjamin,sasse,M,1972-02-22,Ben Sasse,sen,Republican,2021-01-03,2023-01-08,"[117, 118]",nebraska
dianne,feinstein,F,1933-06-22,Dianne Feinstein,sen,Democrat,2019-01-03,2023-09-28,"[116, 117, 118]",california
