first_name,last_name,gender,birthday,name,type,party,start_date,end_date,congress_numbers,state
susan,collins,F,1952-12-07,Susan M. Collins,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",maine
john,cornyn,M,1952-02-02,John Cornyn,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",texas
richard,durbin,M,1944-11-21,Richard J. Durbin,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",illinois
lindsey,graham,M,1955-07-09,Lindsey Graham,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",south carolina
mitch,mcconnell,M,1942-02-20,Mitch McConnell,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",kentucky
jeff,merkley,M,1956-10-24,Jeff Merkley,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",oregon
john,reed,M,1949-11-12,Jack Reed,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",rhode island
james,risch,M,1943-05-03,James E. Risch,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",idaho
jeanne,shaheen,F,1947-01-28,Jeanne Shaheen,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",new hampshire
mark,warner,M,1954-12-15,Mark R. Warner,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",virginia
christopher,coons,M,1963-09-09,Christopher A. Coons,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",delaware
shelley,capito,F,1953-11-26,Shelley Moore Capito,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",west virginia
bill,cassidy,M,1957-09-28,Bill Cassidy,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",louisiana
edward,markey,M,1946-07-11,Edward J. Markey,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",massachusetts
gary,peters,M,1958-12-01,Gary C. Peters,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",michigan
tom,cotton,M,1977-05-13,Tom Cotton,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",arkansas
steve,daines,M,1962-08-20,Steve Daines,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",montana
